WORD,DEFINITION,DATASET_NAME,SPLIT_TYPE
unusual ability,an ability that is very uncommon to have,Hei++,test
criminal abuse,an intentional abuse that is sanctioned by law,Hei++,test
foreign accent,the accent with which a foreigner speaks a local language,Hei++,test
incomplete account,an accounting record that fails to report thorough information,Hei++,test
uninteresting account,a historical account that arouses no interest,Hei++,test
complete accounting,keeping financial accounts in which no information is left out,Hei++,test
accurate accounting,keeping financial accounts in which the reported values reflect the supporting facts,Hei++,test
various achievements,achievements belonging to a wide range of different domains,Hei++,test
irresponsible action,an action that is performed without worrying about its possible consequences,Hei++,test
unclear action,an action prompted by obscure motivations,Hei++,test
unfriendly action,an action that is clearly hostile,Hei++,test
small-time actor,an actor of minor importance,Hei++,test
responsible adult,an adult who is legally liable for a minor,Hei++,test
bold adventure,an adventure that requires bravery and determination,Hei++,test
sound advice,"a piece of good, trustworthy advice",Hei++,test
implicit agreement,an agreement that is not stated explicitly (e.g. in a contract),Hei++,test
interim agreement,an agreement that is in effect between two particular moments in time,Hei++,test
clear air,"air above the earth, with no visible clouds",Hei++,test
fresh air,"the air outdoors, usually cooler than the air in a sealed environment",Hei++,test
thin air,an imaginary place where things vanish or cease to exist,Hei++,test
steadfast ally,an ally that is constantly loyal and trustworthy,Hei++,test
abnormal ambition,ambition that goes beyond ordinary craving,Hei++,test
abnormal amount,an amount (of something) that is considered out of the ordinary,Hei++,test
minuscule amount,an amount (of something) that is considered very small or insignificant,Hei++,test
outrageous amount,an amount (of something) that is considered excessive and unreasonable,Hei++,test
uncommon amount,an amount (of something) that is considered out of the ordinary,Hei++,test
equivocal analysis,an analysis producing contradictory or questionable results,Hei++,test
implicit anger,anger that remains unexpressed,Hei++,test
clean animal,an animal that can be eaten according to some religious dietary laws,Hei++,test
social animal,an animal that is highly interactive with other members of its own species,Hei++,test
domestic animal,an animal that is raised or adapted to live with humans in their home,Hei++,test
easy answer,an easy solution to a problem,Hei++,test
final answer,an answer that admits no further replies,Hei++,test
correct answer,the required answer in replying to a specific question,Hei++,test
right answer,the required answer in replying to a specific question,Hei++,test
active antagonism,a form of antagonism that is vented,Hei++,test
clumsy apology,an awkwardly made apology,Hei++,test
specific application,a specific kind of practical application,Hei++,test
successful architect,a well-known architect with a history of success,Hei++,test
powerful argument,an argument that is very convincing,Hei++,test
modern art,art produced between the 1860s and the 1970s,Hei++,test
practical art,a type of art that serves a functional purpose,Hei++,test
squalid atmosphere,an atmosphere of misery and obscenity,Hei++,test
heroic attack,an attack marked by courage and boldness,Hei++,test
serious attempt,an attempt marked by real and conscious efforts,Hei++,test
